id,qid1,qid2,question1,question2,is_duplicate
282,564,565,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,0
283,566,567,When travelling to a new region is it better to immerse yourself in 1â€“2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
284,568,569,How can I make money online with free of cost?,How do I to make money online?,1
285,570,571,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1
286,572,573,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,1
287,574,575,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,1
288,576,577,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
289,578,579,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
290,580,581,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
291,582,583,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1
292,584,585,What is CPAGrip.com?,What is bestmytest.com?,0
293,586,587,How much funds should I raise?,How much money should I raise?,1
294,588,589,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
295,590,591,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
296,592,593,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,1
297,594,595,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
298,596,597,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
299,598,599,What the meaning of this all life?,What's are the meaning of life?,1
300,600,601,How should I start small business effectively?,How should I start a small business in construction?,0
301,602,603,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
302,604,605,Do you need friends?,Why do we need friends?,0
303,606,607,Do I exist?,Do we exist?,0
304,608,609,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1
305,610,611,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
306,612,613,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
307,614,615,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelorâ€™s degree in Homeland Security?,1
308,616,617,Which are the best books to understand calculus?,What are good books to self study calculus?,1
309,618,619,Why and how did you break up with her/him?,How and why did you break up with your ex?,1
310,620,621,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,0
311,622,623,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,0
312,624,625,What is the best answer to what you did in two years gap in a job interview?,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,1
313,626,627,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,0
314,628,629,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0
315,630,631,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,0
316,632,633,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0
317,634,635,What do countries do to prevent war?,How should countries prevent war?,1
318,636,637,How can I become a billionaire?,How can I become a billionaire (in finance)?,1
319,638,639,Why should I learn web design?,How can I learn about web design?,0
320,640,641,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0
321,642,643,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,1
322,644,645,Why does understanding death philosophical?,What makes understanding death philosophical?,1
323,646,647,Why are dogs considered omnivores?,Are dogs carnivorous animals?,1
324,648,649,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
325,650,651,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0
326,652,108,What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,1
327,653,654,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0
328,655,656,What is journalism for you?,What is journalism?,0
329,657,658,How can one increase concentration?,How can I improve my concentration?,1
330,659,660,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0
331,661,662,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,1
332,663,664,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,0
333,665,666,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0
334,667,668,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,Can I get a job in a consulting firm after Mtech in CSE from IIT?,0
335,669,670,Is there a biological reason that people cry when they are emotional?,What is the biological reason for crying?,0
336,671,672,What are 5 facts about the earth's crust?,How does the Earth's core affect its crust?,0
337,673,674,Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,0
338,675,676,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?,0
339,677,678,What would be the best way to quit smoking?,How did you quit/stop smoking?,1
340,679,680,Which is the best programing language for tcs?,Which is the best programming language?,0
341,681,682,Earthquake resistant homes?,How do earthquake resistant buildings work?,1
342,683,684,Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,0
343,685,686,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,0
344,687,688,What are the five most popular sugar daddy websites?,What is it like to date a cougar or a sugar daddy?,0
345,689,690,What is the VTU 1st sem exam time table of 2016 (Dec)?,How do I frame my time table for 4 months to crack Gate 2016?,0
346,691,692,What is the best phone to buy below 15k?,Which are best mobile phones to buy under 15000?,1
347,693,694,How do we start a business?,How do I start business from nothing?,1
348,695,696,What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,1
349,697,698,Why do I keep getting fleas from my dogs?,How can I keep my dog from getting fleas?,1
350,699,700,What year did the letter J come?,When was the Letter J created?,1
351,701,702,Harvard College Courses: What is general shopping advice for Turkish classes?,Harvard College Courses: What is general shopping advice for Tamil classes?,0
352,703,704,How do I send message from one Android phone to another Android phone through bluetooth?,How do I transfer my contacts from one Android phone to another Android phone?,0
353,705,134,What are the most important books ever written?,What is the most important book you have ever read?,1
354,706,707,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,0
355,708,709,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,0
356,710,711,What universities does Powell Industries recruit new grads from? What majors are they looking for?,What universities does Chart Industries recruit new grads from? What majors are they looking for?,0
357,712,713,What are some of the best movie posters you have come across?,What are the best & iconic movie posters?,0
358,714,715,What are some examples of deuteromycota and how are they formed?,Could all bitcoin mining be done by a single Raspberry Pi?,0
359,716,717,How racist is too racist?,How racist are you?,0
360,718,719,Are there any differences between however and nevertheless?,What's the difference between between and among?,0
361,720,721,Are Canada Geese really Canadian?,What do Canadians call Canada?,0
362,722,723,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,0
363,724,725,How do I edit my devices on my Google play account?,How do I add a second device to a Google Play account?,0
364,726,727,How can I become a good speaker?,What should I do to be a good Speaker?,1
365,728,729,How can I write a letter to Mr. Narendra Modi?,How can I write to Narendra Modi?,1
366,730,731,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,Who is more delusional: Donald Trump or Ted Cruz?,0
367,732,733,Why do they name bastards Snow?,"If Jon Snow is not Ned's bastard, why does Lady Catelyn hate him so much?",0
368,734,735,What do you think about the Bermuda Triangle?,What are your theories about Bermuda Triangle?,1
369,736,737,Do Mexican girls like black guys?,Do girls like black guys with no beard?,0
370,738,739,Have you lived in a tiny house?,Would you live in a tiny house?,0
371,740,741,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",I am an 18 years old boy and I love a girl who's 14 years old. We both live Tamil Nadu. Is this a time to propose to her?,0
372,742,743,Can you debeak cockerels at 8 months old?,How much and with what should I feed my 3 months old raven?,0
373,744,745,What should someone do to overcome anxiety?,What should I do to avoid depression and anxiety?,1
374,746,747,How do we avoid whey in Yogurt?,Is bad breath a sign of a strong stomach?,0
375,748,749,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?","I'm a girl and I'm in love my best friend (who is also a girl), what should I do?",0
376,750,751,What is the best university in Germany for an MS?,Which are the best universities in Germany for getting a degree in mechanical engineering?,0
377,752,753,How do I maintain my peace of mind?,How can I maintain my peace of mind?,1
378,754,755,Which car has good build quality in india?,Is Volkswagen a good reliable car?,0
379,756,757,Why does massaging one's temples soothe a migraine or headache?,What are the causes and most effective ways to treat or cure migraine headaches?,0
380,758,759,Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,1
381,760,761,Why are my bestfriend still ignoring me?,What should I do when my bestfriend is ignoring me?,0
382,762,763,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,Which useful Android phone apps are not available in the Google Play store?,0
383,764,765,How do I keep motivation to learn a language?,How do you keep motivated when you learn a new language?,1
384,766,767,What are the top assessment companies in India?,Which are the top firms in Skills assessment industry in India and Globally?,0
385,768,769,What does @ mean as an emoticon?,Emoticons: What does â€œ:/â€ mean?,0
386,770,771,Is a pinkish discharge normal in early pregnancy? What causes it?,What did nicholas piramal do with 17500 cr?,0
387,772,773,What are the best ways to properly finger yourself?,What would be the best way of keeping yourself amused in a prison?,0
388,774,775,How do scientists work?,Where do scientists work?,0
389,776,777,How many sponsored candidates are shortlisted for CMC vellore?,"What is the office culture and woking at Patanjali office, haridwar?",0
390,778,779,What is the different between Chinese wedding ceremony and western wedding ceremony?,What is the difference between Chinese and Western style wedding?,1
391,780,781,What is the condition of tourism in Pakistan?,Preferable PG courses for BE (EEE) student in Tamil Nadu?,0
392,782,783,What is the different between offshore and onshore funds?,What is the difference between offshore and onshore?,0
393,784,785,Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,1
394,786,787,What are the best self-help books you've ever read?,What are the top self help books I should read?,1
395,788,789,Is Evernote useful?,What is Evernote used for?,1
396,790,791,A title for my continuation to The Gift of the Magi?,How do I start my continuation for the Gift of the Magi?,0
397,792,793,What is a good song to lyric prank your best friend?,What are some good lyric prank songs to send your best friends?,1
398,794,795,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,0
399,796,797,How do I pass a drug test for methamphetamine?,Can hair dye help pass a hair follicle drug test for daily meth smokers?,1
400,798,799,How could start with open source development?,How should I start contributing to open source projects?,1
401,800,801,Why do dreams look so real?,"If you dream about some kind of harm, will there be injuries in real life?",0
402,802,803,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1
403,804,805,How can I get entry in MIT?,What are the requirements for selection into MIT?,1
404,806,807,Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,1
405,808,809,What are movies with incest scenes?,Are there any good incest movie?,1
406,810,811,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,0
407,812,813,"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,0
408,814,815,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",0
409,816,817,Do you regret your divorce?,Have you ever regretted your divorce?,1
410,818,819,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",How much can a person's DNA change from birth to death in a life span of approximately 70 years?,1
411,820,821,Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,0
412,822,823,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,1
413,824,825,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",What is the syllabus for ICSE 2017 geography map?,0
414,826,827,Which is more financially beneficial: being in a firm or teaching in an architecture college?,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?",0
415,828,829,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1
416,830,831,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0
417,832,833,What is the biggest monster in Monster Hunter?,Is there a Monster Hunter PC game?,0
418,834,835,How can I convince people to stop blaspheming against the Holy Spirit?,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,0
419,836,837,Why can't I stop watching porn?,Why should / shouldn't I watch porn?,0
420,838,839,How can I start trusting any one?,How can one learn to trust again?,0
421,840,841,What's your bucket list?,What is your bucket list?,1
422,842,843,How did you first come across porn?,How were you first introduced to porn?,1
423,844,845,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,0
424,846,847,Why canâ€™t charged molecules pass through the lipid cell membrane?,Why can't sodium channels pass through potassium channels?,0
425,848,849,How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,0
426,850,851,What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,0
427,852,853,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",0
428,854,855,What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,1
429,856,857,How do I make free calls to family members on Airtel Andhra Pradesh?,How do I get Facebook badge notifications on HTC 10?,0
430,858,859,What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,1
431,860,861,Should I use Vicks Vapor Rub for a stuffy nose?,How do you apply Vicks Vapor rub to treat a stuffy nose?,1
432,862,863,How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1
433,864,865,How did early Europeans get protein before the Columbian Exchange?,How did they say breakfast in Portuguese before coffee was introduced to Europeans & the Portuguese language?,0
434,866,867,What is the best forum for graphic designers?,Who is the best graphic designer in israel?,0
435,868,869,Is Alex Jones a satirical show?,How is The Canterbury Tales a satire?,0
436,870,871,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,Which should I start with: Angular 2 or AngularJS 1?,0
437,872,873,Why can't we fall asleep on some days?,Why do we fall asleep?,0
438,874,875,Which Marvel movies have not included Stan Lee cameos?,What is your favourite Stan Lee cameo in a Marvel film?,0
439,876,877,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,What are your views on ban of 500 and 1000 rupee notes in India?,1
440,878,879,What does the 10/6 label on the Mad Hatter's hat mean?,How do you find a figure labeled this way in a textbook?,0
441,880,881,Who wrote the Kars for Kids jingle?,I am a freelance musician. How can I get into the jingle industry?,0
442,882,883,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1
443,884,885,What are the minimum requirements to enter MIT?,How can I join MIT?,1
444,886,887,How do you answer a question on Quora?,What is the best thing you've ever learned on Quora?,0
445,888,889,Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1
446,890,891,When is it too late to learn the piano?,I'm almost 40. Is it too late for me to learn piano?,1
447,892,893,What are natural numbers?,What is a least natural number?,0
448,894,895,Is One Plus 3T 4G VoLTE enabled phone?,Which phone to buy Moto m or one plus 3t?,0
449,896,897,How do I enter a new email ID which I can access to recover my Facebook ID?,I lost all my ID. I am adopted and can't access my original birth certificate. How do I replace my ID without even a birth certificate?,0
450,898,899,How we can travel faster than light?,Is it possible to travel faster than light?,1
451,900,901,What is it like being a firefighter?,What's it like to be a firefighter?,1
452,902,903,What are the factors that causes data inconsistency in distributed platform/application?,What are the main data platform?,0
453,904,905,What are the differences between POCSO and sexual offenses in the IPC?,Do we need the IPC section 375?,0
454,906,907,"What is an alternative for the word ""is""?",What is the alternative word for creative?,0
455,908,909,What is considered an illegal screen in the NBA?,Shaquille O'Neal considers Tim Duncan a power forward therefore disqualifying Duncan from the NBA great big men discussion. Does O'Neal have a point?,0
456,910,911,Nothing excites me anymore. How do I regain that excitement?,Why do I feel like I'm excited about something when I have nothing to be excited about?,0
457,912,913,What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1
458,914,915,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,How do you stop a criminal's attempt to kidnap you and escape unharmed?,1
459,916,917,How do I sell on Amazon?,How do I start selling on Amazon?,1
460,918,919,Daniel Ek: When an we expect Spotify in India?,Daniel Ek: Are there any future plans of releasing Spotify in India?,1
461,920,921,What are the top 10 books one should read in his or her early 20s?,What books are worth reading in early 20s?,1
462,922,923,Which book should I start with for the GATE preparation?,What book do I start with for GATE preparation?,1
463,924,925,"What does the phrase ""He who does not love abides in death"" exactly mean?","What does the phrase ""love begets love"" mean?",0
464,926,927,What is similar to 4Shared?,What is similar to 4shared but better?,1
465,928,929,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?,"If someone grabs you by your shirt with both their hands and tells you to shut up, is that assault and can you call the police?",0
466,930,931,Considering the current trend of information technology what is the future of print media?,What is this model's name? I see her everywhere.,0
467,932,933,What is the best recipe for chicken pizza?,What are some good pizza recipes?,0
468,934,935,What are some good places to learn mountaineering in India?,What are some good mountaineering institutes for a beginner level mountaineering course?,1
469,936,937,Do new table tennis balls damage rubbers?,How do you unlock a car with a tennis ball?,0
470,938,939,My new Xbox one S can't connect to internet during setup. Any solutions?,Can I withdraw my money from any branch of particular bank .my bank is bank of Baroda I have no Atm card and cheque book?,0
471,940,941,Is it wrong for me to be content with my life?,What is a cover story?,0
472,942,943,Is gravity only a theory?,"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",0
473,944,945,How could I become a fighter pilot when I have less than the required eyesight?,I have terrible eyesight. Can I still become a fighter pilot in the Air Force?,0
474,946,947,Operation executive salary in Infosys?,"How do I do the Wake Back To Bed lucid dreaming technique when I think I have restless leg syndrome (regardless, my legs hurt at night.)?",0
475,948,949,Have cavemen been scientifically tested?,Have mythical creatures been scientifically tested?,0
476,950,951,Can climate change be reversed?,Can the global climate change be reversed or halted?,1
477,952,953,How should ask my crush for her number?,What should I ask my crush?,0
478,954,955,Why do I believe that gravitation force exist?,Does gravitational force exists in all planets?,0
479,956,957,Did Mahabharata really happen?,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,1
480,958,959,Can Congress stop Presidents from starting a major war?,What's a good source to purchase Attorneys eMail addresses? Thanks,0
481,960,961,Is it safe to lose 25 pounds in 1 month?,Is it healthy to lose 13 pounds in a month?,0
482,962,963,What are some cute shounen ai series?,When will the PokÃ©mon series end?,0
483,964,965,Why are police lights red and blue?,Why are police lights red and/or blue?,1
484,966,967,How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1
485,968,969,Who owns nature?,Who owns Natural Factors?,0
486,970,971,How can I install OBB/data file on an Android?,I want to install EXE extension files in Android mobile. Is it possible?,0
487,972,973,What is garbage value? And Why do we get garbage value in c?,What is garbage value in c?,0
488,974,975,How do I prepare for software interviews?,What are the best ways to prepare for software interviews?,1
489,976,977,Does Rahul Gandhi have any chance to become next PM of India after Modi?,Does Rahul Gandhi have chances to become next Pm of India after Modi?,1
490,978,979,Is noon 12 am or 12 pm?,Is it good to do gym at morning and swimming at noon?,0
491,980,981,What is the difference between a comet and an asteroid?,What is the difference between asteroids and comets?,1
492,982,983,Is chocolate milk good for you?,Why is unrefrigerated milk good for you?,0
493,984,985,How should I study,What are some tricks to study effectively?,1
494,986,987,Which country is best for higher education and work?,Which is the best country for higher education after USA and UK?,0
495,988,989,What is the painting on this image?,What is this painting?,0
496,990,991,Which are the major highways in California and how are they compared to the major highways in Tennessee?,Which are the major highways in California and how are they compared to the major highways in Texas?,0
497,992,993,What's beyond our Universe?,"If space is expanding, where does the new space come from?",0
498,994,995,Is growing of hair a physical or a chemical change?,Can a bald person ever grow their hair back?,0
499,996,997,What is the difference between culture and history?,How is chili different between cultures?,0
